D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-41devID1.jpg;8589;29967,7921
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-43devID2.jpg;8254;27752,5779
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-04devID1.jpg;8308;28485,7826
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-05devID2.jpg;8549;29328,188
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-34devID1.jpg;8134;28314,1815
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-35devID2.jpg;8489;29920,9918
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-04devID1.jpg;8462;28626,1835
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-05devID2.jpg;8427;29016,186
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-34devID1.jpg;8395;28750,9843
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-35devID2.jpg;8400;29296,9878

D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-41devID1.jpg;8731;29562,1895
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-43devID2.jpg;8387;28875,7851
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-04devID1.jpg;8223;29109,7866
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-05devID2.jpg;8532;28532,5829
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-34devID1.jpg;8288;28875,7851
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-35devID2.jpg;8448;28142,5804
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-04devID1.jpg;8479;28813,3847
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-05devID2.jpg;8516;28828,9848
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-34devID1.jpg;8458;29452,9888
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-35devID2.jpg;8501;29374,9883

D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-41devID1.jpg;9196;31637,0028
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-43devID2.jpg;8892;31465,4017
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-04devID1.jpg;8909;30732,197
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-05devID2.jpg;9076;31808,6039
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-34devID1.jpg;8851;31964,6049
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-35devID2.jpg;9010;31699,4032
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-04devID1.jpg;8979;32042,6054
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-05devID2.jpg;8961;32307,8071
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-34devID1.jpg;9002;31543,4022
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-35devID2.jpg;9011;32775,8101

D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-41devID1.jpg;9337;31777,4037
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-43devID2.jpg;9211;32900,6109
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-04devID1.jpg;9261;32619,8091
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-05devID2.jpg;9267;33197,0128
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-34devID1.jpg;8952;31668,203
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-35devID2.jpg;9250;33087,8121
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-04devID1.jpg;9156;32869,4107
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-05devID2.jpg;9193;33228,213
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-34devID1.jpg;8967;32619,8091
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-35devID2.jpg;9232;32448,208

D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-41devID1.jpg;27153;70996,0551
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-43devID2.jpg;28917;68016,436

D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-41devID1.jpg;26932;71105,2558
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-43devID2.jpg;27347;71588,8589
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-04devID1.jpg;26830;68203,6372
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-05devID2.jpg;27372;70949,2548
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-34devID1.jpg;26974;70028,8489
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-35devID2.jpg;27612;70060,0491
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-04devID1.jpg;27005;70652,8529
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-05devID2.jpg;27115;70278,4505
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-34devID1.jpg;27053;71074,0556
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-35devID2.jpg;27105;68905,6417

D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-41devID1.jpg;21299;60450,3875
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-43devID2.jpg;20843;58297,5737
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-04devID1.jpg;20830;61932,397
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-05devID2.jpg;21203;60731,1893
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-34devID1.jpg;20866;61230,3925
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-35devID2.jpg;21113;60715,5892
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-04devID1.jpg;20945;59373,9806
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-05devID2.jpg;20979;62852,8029
